CRASH_YEAR,CRASH_MONTH,BEAT_OF_OCCURRENCE,avg_age,avg_speed_limit,total_crashes,sum_injuries_total,sum_injuries_fatal,sum_injuries_incapacitating,sum_injuries_non_incapacitating,sum_injuries_reported_not_evident,sum_weather_category_clear,sum_weather_category_cloudy,sum_weather_category_rain,sum_weather_category_extreme,sum_weather_category_unknown,sum_lighting_category_daylight,sum_lighting_category_night,sum_lighting_category_unknown,sum_roadway_surface_category_dry,sum_roadway_surface_category_wet,sum_roadway_surface_category_snow,sum_roadway_surface_category_ice,sum_roadway_surface_category_unknown,sum_road_defect_category_no_defects,sum_road_defect_category_bad,sum_road_defect_category_defect,sum_road_defect_category_debris,sum_road_defect_category_unknown,sum_damage_category_high,sum_damage_category_low,sum_damage_category_medium,sum_gender_unknown,sum_gender_female,sum_gender_male,sum_category_motorcycle,sum_category_off-road/specialized,sum_category_passenger vehicle,sum_category_public transport,sum_category_truck/commercial
2017,1,614.0,39.642857142857146,28.0,10,0.0,0.0,0.0,0.0,0.0,8,0,1,0,1,8,2,0,5,4,0,0,1,4,0,0,0,6,6,0,4,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
2017,1,621.0,48.06666666666667,28.80952380952381,21,2.0,0.0,0.0,0.0,2.0,12,1,2,4,2,8,11,2,10,5,2,1,3,17,1,0,0,3,9,5,7,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0
2017,1,622.0,47.06521739130435,26.20689655172414,29,0.0,0.0,0.0,0.0,0.0,17,2,4,2,4,18,9,2,19,6,0,2,2,22,0,0,0,7,15,4,10,0.0,0.0,0.0,0.0,0.0,38.0,0.0,1.0
2017,1,623.0,45.94230769230769,27.93103448275862,29,1.0,0.0,0.0,0.0,1.0,21,3,4,0,1,16,13,0,18,4,1,4,2,24,0,0,0,5,17,4,8,0.0,0.0,0.0,0.0,0.0,44.0,2.0,0.0
2017,1,624.0,46.4,26.428571428571427,7,0.0,0.0,0.0,0.0,0.0,5,0,0,1,1,3,4,0,4,0,0,1,2,4,0,0,0,3,4,3,0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0
2017,1,631.0,35.125,27.0,5,1.0,0.0,0.0,1.0,0.0,3,0,0,2,0,3,2,0,4,0,0,1,0,4,0,0,0,1,5,0,0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
2017,1,632.0,38.09090909090909,25.96153846153846,26,2.0,0.0,0.0,0.0,2.0,21,0,3,1,1,16,10,0,19,4,1,0,2,20,0,0,0,6,13,6,7,0.0,0.0,0.0,0.0,0.0,41.0,0.0,1.0
2017,1,633.0,41.75,30.0,9,0.0,0.0,0.0,0.0,0.0,7,1,0,0,1,5,3,1,6,0,0,2,1,7,0,0,0,2,5,2,2,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2017,1,634.0,41.35185185185185,23.88888888888889,9,0.0,0.0,0.0,0.0,0.0,4,0,3,0,2,3,6,0,4,3,0,0,2,7,0,0,0,2,4,0,5,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0
2017,1,711.0,34.23684210526316,29.6,25,3.0,0.0,0.0,0.0,3.0,15,1,7,0,2,10,15,0,13,9,0,1,2,20,0,0,0,5,15,3,7,0.0,0.0,0.0,0.0,0.0,32.0,0.0,2.0
2017,1,712.0,28.291666666666668,29.375,8,3.0,0.0,1.0,2.0,0.0,6,0,2,0,0,4,4,0,4,2,1,0,1,6,0,0,0,2,7,0,1,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0
2017,1,713.0,41.666666666666664,29.0,10,3.0,0.0,2.0,1.0,0.0,7,0,3,0,0,3,7,0,7,3,0,0,0,10,0,0,0,0,4,2,4,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0
2017,1,714.0,39.42857142857143,28.0,10,4.0,0.0,0.0,1.0,3.0,7,0,2,1,0,3,7,0,6,4,0,0,0,9,0,0,0,1,7,1,2,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0
2017,1,715.0,30.9375,29.444444444444443,9,1.0,0.0,1.0,0.0,0.0,7,0,2,0,0,4,5,0,6,3,0,0,0,9,0,0,0,0,5,1,3,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
2017,1,722.0,35.833333333333336,27.916666666666668,12,3.0,0.0,0.0,2.0,1.0,7,0,2,1,2,3,7,2,4,2,0,1,5,8,0,0,0,4,5,3,4,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
2017,1,723.0,40.25,29.41176470588235,17,2.0,0.0,0.0,2.0,0.0,11,0,3,2,1,8,9,0,10,5,0,1,1,13,1,0,0,3,8,6,3,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0
