Features,K,Score
"('avg_age', 'avg_crash_severity_score', 'combined_weather_road_severity', 'fatality_rate', 'damage_cost_LB', 'weekend_crash_rate')",5,0.1780812721044675
"('avg_crash_severity_score', 'avg_lighting_severity', 'combined_weather_road_severity', 'fatality_rate', 'damage_cost_LB', 'pct_neo_patented_drivers')",3,0.1780402677530256
"('avg_age', 'avg_lighting_severity', 'fatality_rate', 'damage_cost_LB', 'weekend_crash_rate', 'pct_neo_patented_drivers')",6,0.1780156562918362
"('avg_age', 'avg_lighting_severity', 'combined_weather_road_severity', 'fatality_rate', 'weekend_crash_rate', 'pct_neo_patented_drivers')",5,0.17789384443591466
"('avg_crash_severity_score', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'weekend_crash_rate', 'pct_neo_patented_drivers')",6,0.17777747102648817
"('avg_crash_severity_score', 'avg_lighting_severity', 'fatality_rate', 'damage_cost_LB', 'weekend_crash_rate', 'pct_neo_patented_drivers')",7,0.17774932155404632
"('avg_age', 'avg_crash_severity_score', 'avg_lighting_severity', 'combined_weather_road_severity', 'weekend_crash_rate', 'pct_neo_patented_drivers')",2,0.17766052546823427
"('avg_crash_severity_score', 'combined_weather_road_severity', 'fatality_rate', 'damage_cost_LB', 'weekend_crash_rate', 'pct_neo_patented_drivers')",8,0.17763767353512094
"('avg_crash_severity_score', 'avg_lighting_severity', 'combined_weather_road_severity', 'speeding_influence', 'damage_cost_LB', 'pct_neo_patented_drivers')",2,0.17736115330869065
"('avg_age', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'damage_cost_LB', 'pct_neo_patented_drivers')",10,0.17735679495577658
"('avg_age', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'damage_cost_LB', 'weekend_crash_rate')",3,0.17724535023354773
"('avg_age', 'avg_crash_severity_score', 'combined_weather_road_severity', 'fatality_rate', 'damage_cost_LB', 'pct_neo_patented_drivers')",9,0.1768434652754246
"('avg_crash_severity_score', 'avg_lighting_severity', 'fatality_rate', 'speeding_influence', 'damage_cost_LB', 'weekend_crash_rate')",8,0.17682989605797933
"('avg_age', 'avg_lighting_severity', 'fatality_rate', 'damage_cost_LB', 'weekend_crash_rate', 'pct_neo_patented_drivers')",5,0.17649985900605086
"('avg_age', 'avg_lighting_severity', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'damage_cost_LB')",6,0.1764922701813336
"('avg_age', 'avg_crash_severity_score', 'combined_weather_road_severity', 'fatality_rate', 'weekend_crash_rate', 'pct_neo_patented_drivers')",6,0.1764059429238339
"('avg_age', 'avg_lighting_severity', 'combined_weather_road_severity', 'fatality_rate', 'speeding_influence', 'weekend_crash_rate')",6,0.1763355053900656
